Test,Media,DS
MoCA,26.5,2.2
Craft Story 21 RI,21.8,6.4
Craft Story 21 RIP,16.2,3.7
Craft Story 21 RD,18.9,6.4
Craft Story 21 RDP,15.1,4.0
RAVLT Aprendizaje total,32.6,8.3
RAVLT Recuerdo diferido,5.6,2.6
RAVLT Reconocimiento,11.5,2.6
FCR recuerdo,11.74,6.11
Denominación Boston,53.0,3.4
Fluencia Fonológica,15.0,4.4
Fluencia Semántica,21.7,5.3
TMT A,41.74,15.32
Clave de números (WAIS IV),10.0,3.0
Span de dígitos Directos,6.92,1.14
Span de dígitos inversos,4.56,0.73
TMT B,100.68,44.16
FAB,16.91,1.37
Stroop (PC),50.0,10.0
Stroop (Interferencia),50.0,10.0
FCR copia,29.57,3.37
